Websites,Firefox - With,Firefox - Without
Fedex,595,437
Fedex,532,445
Fedex,531,433
Fedex,598,233
Realtor,487,410
Realtor,489,399
Realtor,412,404
Realtor,533,237
usps,1665,1231
usps,1542,1022
usps,1675,1031
usps,1405,1994
W3School,1419,649
W3School,1568,650
W3School,2158,631
W3School,1509,764
Zillow,1200,605
Zillow,1456,612
Zillow,1203,588
Zillow,1134,699
Akismet,341,156
Akismet,344,103
Akismet,356,98
Akismet,433,203
Bitly,1743,1151
Bitly,1700,1054
Bitly,1808,984
Bitly,1540,950
Bitnami,633,231
Bitnami,630,204
Bitnami,544,197
Bitnami,601,284
VK,867,451
VK,956,495
VK,850,422
VK,798,470
Jimbo,255,220
Jimbo,201,193
Jimbo,300,182
Jimbo,478,177
Tradingview,2839,1732
Tradingview,2773,1653
Tradingview,2860,1278
Tradingview,3569,1667
Google,50,38
Google,60,34
Google,78,55
Google,85,65
Instagram,1676,997
Instagram,1541,993
Instagram,1023,1002
Instagram,1231,865
Youtube,2993,1640
Youtube,2674,1433
Youtube,2300,1560
Youtube,3012,1655
Amazon,4824,1495
Amazon,4424,1543
Amazon,3803,1321
Amazon,2415,1114
Bing,307,96
Bing,309,76
Bing,299,81
Bing,337,34
Debian,633,519
Debian,652,544
Debian,578,456
Debian,670,500
Ebay,1423,380
Ebay,2356,350
Ebay,957,342
Ebay,987,451
Oracle,912,349
Oracle,897,295
Oracle,977,307
Oracle,461,360
ScienceDirect,534,109
ScienceDirect,671,99
ScienceDirect,897,214
ScienceDirect,1574,121
Badoo,903,524
Badoo,878,545
Badoo,854,522
Badoo,987,544
Bake,689,425
Bake,705,341
Bake,599,400
Bake,680,322
Bible,933,346
Bible,913,355
Bible,1066,343
Bible,845,321
mobico,2210,1861
mobico,3099,1899
mobico,2000,1773
mobico,2180,1672
tinder,427,349
tinder,544,412
tinder,403,308
tinder,593,298