Websites,Opera - With,Opera  - Without
Fedex,591,446
Fedex,412,398
Fedex,394,342
Fedex,590,198
Realtor,971,384
Realtor,930,276
Realtor,434,376
Realtor,745,451
usps,2496,1677
usps,2180,1243
usps,2564,1604
usps,3498,1243
W3School,951,492
W3School,1023,468
W3School,923,450
W3School,902,595
Zillow,3119,1278
Zillow,3402,1263
Zillow,3120,1123
Zillow,2004,1099
Akismet,399,94
Akismet,404,102
Akismet,450,87
Akismet,541,156
Bitly,1365,600
Bitly,1255,754
Bitly,1344,621
Bitly,1300,591
Bitnami,602,274
Bitnami,583,275
Bitnami,601,241
Bitnami,576,312
VK,825,546
VK,910,564
VK,815,437
VK,750,465
Jimbo,301,91
Jimbo,293,84
Jimbo,305,76
Jimbo,677,165
Tradingview,1927,1313
Tradingview,1866,1300
Tradingview,1925,1405
Tradingview,1723,945
Google,218,28
Google,345,12
Google,545,34
Google,200,78
Instagram,1032,876
Instagram,1332,874
Instagram,1067,880
Instagram,983,766
Youtube,1997,1331
Youtube,1900,1211
Youtube,1345,897
Youtube,2478,1358
Amazon,3061,2527
Amazon,3166,2300
Amazon,2344,1988
Amazon,3079,2523
Bing,158,84
Bing,125,55
Bing,123,65
Bing,178,104
Debian,615,487
Debian,598,431
Debian,610,237
Debian,567,466
Ebay,437,275
Ebay,874,344
Ebay,563,202
Ebay,409,307
Oracle,384,119
Oracle,457,98
Oracle,384,155
Oracle,1500,77
ScienceDirect,916,688
ScienceDirect,1089,452
ScienceDirect,1204,563
ScienceDirect,785,788
Badoo,308,570
Badoo,877,499
Badoo,1008,487
Badoo,901,573
Bake,217,177
Bake,206,198
Bake,345,232
Bake,357,303
Bible,856,160
Bible,858,162
Bible,837,147
Bible,765,177
mobico,1152,910
mobico,2432,1000
mobico,1967,894
mobico,1132,1001
tinder,156,58
tinder,231,67
tinder,287,81
tinder,609,32